Goal,GgCO2e,Year,Period_ge,Period_en,Source_ge,Source_en
Energy Generation & Transmission,19855,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Energy Generation & Transmission,3654,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Energy Generation & Transmission,4425,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Energy Generation & Transmission,5212,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Energy Generation & Transmission,6691,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Energy Generation & Transmission,5687,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Transport,3823,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Transport,4139,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Transport,4563,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Transport,5257,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Transport,7110,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Transport,6044,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Buildings,,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Buildings,1954,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Buildings,3635,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Buildings,4277,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Buildings,4625,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Buildings,4625,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Industry,11445,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Industry,3123,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Industry,4474,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Industry,5289,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Industry,5986,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Industry,5690,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Agriculture,4102,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Agriculture,3326,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Agriculture,3635,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Agriculture,4203,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Agriculture,4624,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Agriculture,4533,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Waste Management,1105,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Waste Management,1389,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Waste Management,1556,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Waste Management,1339,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Waste Management,1850,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Waste Management,1850,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Forestry,-6353,1990,ისტორიული,Historical,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Forestry,-5621,2015,საბაზისო,Baseline,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Forestry,-5950,2024,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Forestry,-6000,2028,საშუალოვადიანი სამიზნე,Medium-term target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Forestry,-5931,2030,პროგნოზი საბაზისო სცენარით,Reference scenario projection,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
Forestry,-6183,2030,საბოლოო სამიზნე,Final target,2030 წელს სათბურის აირების ეროვნული ინვენტარიზაცია ,2030 National GHG Inventory 
