Goal ,Objective ,Activity ,Institution,Abbreviation,Period of implementation,Budget,Type_origin,Type, amount ,Organization
Energy Generation & Transmission,"Support renewable energy (wind, solar, hydro, biomass) generation",1.1.1. Technical and procedural support for wind power (WP) generation,Ministry of Economy and Sustainable Development,MoESD,2023 Q4,"2,178,000,000.00",Investment,Investment,2178000000,"Imereti WPP – ltd “Usasrulo Energia”;
Rikoti-Phona WPP – ltd “Taba”;
Tbilisi WPP – JSC “Caucasian Wind Company”;
Kaspi WPP – “Caucasian Wind Company”; Samgori WPP – ltd “Vento”;
Zestaponi WPP – lts “Zestaponi Wind Power Plant”;
Nigoza WPP – JSC “Chalik Georgia Wind”;
Ruisi WPP – ltd “Ruisi Wind Power Plant”;
Dirbula WPP – ltd “Sinte”."
Energy Generation & Transmission,"Support renewable energy (wind, solar, hydro, biomass) generation",1.1.2. Technical and procedural support for solar power (SP) generation,Ministry of Economy and Sustainable Development,MoESD,2023 Q4 ,"209,880,000.00",Investment,Investment,209880000,"Udabno SPP ltd “Georgia solar company”; Gardabani SPP– EBRD;
Marneuli SPP – ltd “New Generation”; Sagarejo SPP – JSC “Georgian Energy Development Fund.”"
Energy Generation & Transmission,"Support renewable energy (wind, solar, hydro, biomass) generation",1.1.3. Technical and procedural support for hydro power (HP) generation,Ministry of Economy and Sustainable Development,MoESD,2023 Q4,"1,980,000,000.00",Investment,Investment,1980000000,"Kirnati HPP – lts “Adjara  Energy 2007”;
Khobi HPP – ltd “Kartli Investment Group Energy“;
Mtkvari HPP – ltd “Mtkvari HPP”;
Mestiachala 1 HPP – JSC “Svaneti Hydro”;
Stori 1 HPP – ltd “Gota 21”;
Samkuristskali 2 HPP – ltd “Peri”;
Metekhi 1 HPP – ltd “Phazisi Energy and Yenigun”;
Chiora HPP – ltd “Chiora HPP”;
Zoti HPP Cascade – JSC “Georgian Renewable Energy Company.”"
Energy Generation & Transmission,Improve average efficiency of thermal power plants,1.2.1. implementation of technical work of thermal power plants,Ministry of Economy and Sustainable Development,MoESD,2023 Q4,"531,200,000.00",not mentioned,Investment,332000000,Oil and Gas Corporation 
Energy Generation & Transmission,Improve average efficiency of thermal power plants,1.2.1. implementation of technical work of thermal power plants,Ministry of Economy and Sustainable Development,MoESD,2023 Q4,"531,200,000.00",Deficit,Deficit,199200000,
Energy Generation & Transmission,Strengthen the capacities of renewable energy integration in the transmission network of Georgia ,1.3.1. Implementation of Ten-year network development plan of Georgia for electricity distribution companies,Ministry of Economy and Sustainable Development,MoESD,2023 Q4,"771,804,000.00",State,State,109692000,
Energy Generation & Transmission,Strengthen the capacities of renewable energy integration in the transmission network of Georgia ,1.3.1. Implementation of Ten-year network development plan of Georgia for electricity distribution companies,Ministry of Economy and Sustainable Development,MoESD,2023 Q4,"771,804,000.00","loan, grant","Loan, Grant",662112000,"EBRD, WB, KFW, EU-NIF"
Energy Generation & Transmission,Develop new policy documents and legislation for the energy sector ,1.4.1. Development of a long-term comprehensive multisectoral strategy document for Georgia’s energy policy,Ministry of Economy and Sustainable Development,MoESD,2023 Q4 ,"198,000.00",Grant,"Loan, Grant",198000,"EU, Government of Sweden,  UNDP"
Transport,Increase the share of low- and zero-emission and roadworthy private vehicles in the vehicle fleet,2.1.1. Implementing changes in existing regulation related to the technical inspection of vehicles.,Ministry of Economy and Sustainable Development,MoESD,2023 Q2,Administrative costs,State,State,,
Transport,Increase the share of low- and zero-emission and roadworthy private vehicles in the vehicle fleet,2.1.2. More efficient execution of fines foreseen under the Administrative Offences Code of Georgia in terms of technical inspection of the vehicles.,Ministry of Internal Affairs,MIA,2023 Q1,"120,000.00",State,State,120000,
